TimeStamp   ,BPM   
Y-09-15 00:37:49 ,72 
Y-09-15 00:37:50 ,107 
Y-09-15 00:37:51 ,54 
Y-09-15 00:37:52 ,71 
Y-09-15 00:37:54 ,85 
Y-09-15 00:37:55 ,88 
Y-09-15 00:37:56 ,80 
Y-09-15 00:37:58 ,72 
Y-09-15 00:37:59 ,76 
Y-09-15 00:38:00 ,65 
Y-09-15 00:38:02 ,66 
Y-09-15 00:38:03 ,60 
Y-09-15 00:38:05 ,71 
Y-09-15 00:38:06 ,71 
Y-09-15 00:38:07 ,61 
Y-09-15 00:38:09 ,58 
Y-09-15 00:38:10 ,58 
Y-09-15 00:38:12 ,58 
Y-09-15 00:38:13 ,66 
Y-09-15 00:38:16 ,66 
Y-09-15 00:38:20 ,66 
Y-09-15 00:38:24 ,76 
Y-09-15 00:38:25 ,74 
Y-09-15 00:38:27 ,76 
Y-09-15 00:38:28 ,72 
Y-09-15 00:38:32 ,57 
Y-09-15 00:38:33 ,77 
Y-09-15 00:38:38 ,77 
Y-09-15 00:38:39 ,76 
Y-09-15 00:38:40 ,76 
Y-09-15 00:38:42 ,76 
Y-09-15 00:38:43 ,76 
Y-09-15 00:38:45 ,76 
Y-09-15 00:38:46 ,75 
Y-09-15 00:38:47 ,75 
Y-09-15 00:38:48 ,75 
Y-09-15 00:38:50 ,75 
Y-09-15 00:38:51 ,75 
Y-09-15 00:38:53 ,75 
Y-09-15 00:38:55 ,75 
Y-09-15 00:38:56 ,75 
Y-09-15 00:38:57 ,77 
Y-09-15 00:38:58 ,77 
Y-09-15 00:38:59 ,77 
Y-09-15 00:39:01 ,77 
Y-09-15 00:39:02 ,77 
Y-09-15 00:39:04 ,77 
Y-09-15 00:39:08 ,77 
Y-09-15 00:39:12 ,77 
Y-09-15 00:39:13 ,77 
Y-09-15 00:39:15 ,76 
Y-09-15 00:39:16 ,76 
Y-09-15 00:39:17 ,77 
Y-09-15 00:39:18 ,77 
Y-09-15 00:39:19 ,77 
Y-09-15 00:39:21 ,77 
Y-09-15 00:39:22 ,77 
Y-09-15 00:39:23 ,77 
Y-09-15 00:39:25 ,79 
Y-09-15 00:39:26 ,80 
Y-09-15 00:39:29 ,60 
Y-09-15 00:39:31 ,60 
Y-09-15 00:39:32 ,79 
Y-09-15 00:39:34 ,79 
Y-09-15 00:39:35 ,81 
Y-09-15 00:39:36 ,81 
Y-09-15 00:39:38 ,81 
Y-09-15 00:39:39 ,81 
Y-09-15 00:39:41 ,81 
Y-09-15 00:39:43 ,80 
Y-09-15 00:39:44 ,82 
Y-09-15 00:39:45 ,82 
Y-09-15 00:39:47 ,82 
Y-09-15 00:39:49 ,78 
Y-09-15 00:39:54 ,78 
Y-09-15 00:39:55 ,78 
Y-09-15 00:39:56 ,77 
Y-09-15 00:39:58 ,70 
Y-09-15 00:40:00 ,69 
Y-09-15 00:40:01 ,78 
Y-09-15 00:40:02 ,79 
Y-09-15 00:40:04 ,79 
Y-09-15 00:40:05 ,79 
Y-09-15 00:40:06 ,79 
Y-09-15 00:40:08 ,64 
Y-09-15 00:40:11 ,64 
Y-09-15 00:40:13 ,77 
Y-09-15 00:40:14 ,77 
Y-09-15 00:40:16 ,77 
Y-09-15 00:40:17 ,77 
Y-09-15 00:40:18 ,56 
Y-09-15 00:40:20 ,78 
Y-09-15 00:40:21 ,78 
Y-09-15 00:40:23 ,80 
Y-09-15 00:40:24 ,80 
Y-09-15 00:40:25 ,80 
Y-09-15 00:40:29 ,80 
Y-09-15 00:40:31 ,80 
Y-09-15 00:40:33 ,80 
Y-09-15 00:40:34 ,80 
Y-09-15 00:40:36 ,77 
Y-09-15 00:40:37 ,65 
Y-09-15 00:40:39 ,66 
Y-09-15 00:40:40 ,66 
Y-09-15 00:40:42 ,66 
Y-09-15 00:40:43 ,66 
Y-09-15 00:40:45 ,79 
Y-09-15 00:40:51 ,81 
Y-09-15 00:40:53 ,78 
Y-09-15 00:40:54 ,64 
Y-09-15 00:40:56 ,61 
Y-09-15 00:40:57 ,79 
Y-09-15 00:40:59 ,71 
Y-09-15 00:41:00 ,80 
Y-09-15 00:41:01 ,80 
Y-09-15 00:41:03 ,79 
Y-09-15 00:41:05 ,73 
Y-09-15 00:41:09 ,79 
Y-09-15 00:41:11 ,77 
Y-09-15 00:41:12 ,78 
Y-09-15 00:41:13 ,76 
Y-09-15 00:41:15 ,76 
Y-09-15 00:41:17 ,69 
Y-09-15 00:41:18 ,76 
Y-09-15 00:41:20 ,75 
Y-09-15 00:41:21 ,62 
Y-09-15 00:41:23 ,78 
Y-09-15 00:41:25 ,79 
Y-09-15 00:41:26 ,70 
Y-09-15 00:41:28 ,77 
Y-09-15 00:41:30 ,68 
Y-09-15 00:41:34 ,77 
Y-09-15 00:41:36 ,66 
Y-09-15 00:41:38 ,78 
Y-09-15 00:41:39 ,78 
Y-09-15 00:41:41 ,79 
Y-09-15 00:41:42 ,64 
Y-09-15 00:41:43 ,72 
Y-09-15 00:41:45 ,76 
Y-09-15 00:41:46 ,55 
Y-09-15 00:41:48 ,69 
Y-09-15 00:41:50 ,65 
Y-09-15 00:41:51 ,60 
Y-09-15 00:41:52 ,71 
Y-09-15 00:41:57 ,77 
Y-09-15 00:41:58 ,77 
Y-09-15 00:42:00 ,76 
Y-09-15 00:42:01 ,71 
Y-09-15 00:42:03 ,74 
Y-09-15 00:42:04 ,63 
Y-09-15 00:42:06 ,78 
Y-09-15 00:42:08 ,79 
Y-09-15 00:42:09 ,81 
Y-09-15 00:42:10 ,75 
Y-09-15 00:42:12 ,74 
Y-09-15 00:42:13 ,74 
Y-09-15 00:42:15 ,74 
Y-09-15 00:42:16 ,75 
Y-09-15 00:42:18 ,77 
Y-09-15 00:42:19 ,85 
Y-09-15 00:42:23 ,79 
Y-09-15 00:42:25 ,73 
Y-09-15 00:42:27 ,79 
Y-09-15 00:42:28 ,72 
Y-09-15 00:42:30 ,76 
Y-09-15 00:42:32 ,75 
Y-09-15 00:42:33 ,65 
Y-09-15 00:42:35 ,70 
Y-09-15 00:42:36 ,70 
Y-09-15 00:42:38 ,79 
Y-09-15 00:42:40 ,80 
Y-09-15 00:42:42 ,80 
Y-09-15 00:42:43 ,78 
Y-09-15 00:42:48 ,65 
Y-09-15 00:42:50 ,77 
Y-09-15 00:42:52 ,71 
Y-09-15 00:42:53 ,76 
Y-09-15 00:42:55 ,76 
Y-09-15 00:42:57 ,69 
Y-09-15 00:42:58 ,71 
Y-09-15 00:43:00 ,63 
Y-09-15 00:43:01 ,55 
Y-09-15 00:43:03 ,79 
Y-09-15 00:43:05 ,81 
Y-09-15 00:43:09 ,79 
Y-09-15 00:43:11 ,65 
Y-09-15 00:43:13 ,61 
Y-09-15 00:43:15 ,61 
