TimeStamp   ,BPM   
Y-09-15 00:13:32 ,81 
Y-09-15 00:13:33 ,86 
Y-09-15 00:13:34 ,89 
Y-09-15 00:13:36 ,95 
Y-09-15 00:13:37 ,91 
Y-09-15 00:13:38 ,90 
Y-09-15 00:13:39 ,88 
Y-09-15 00:13:40 ,86 
Y-09-15 00:13:41 ,84 
Y-09-15 00:13:42 ,82 
Y-09-15 00:13:44 ,82 
Y-09-15 00:13:46 ,79 
Y-09-15 00:13:47 ,73 
Y-09-15 00:13:48 ,73 
Y-09-15 00:13:49 ,73 
Y-09-15 00:13:51 ,78 
Y-09-15 00:13:53 ,78 
Y-09-15 00:13:54 ,81 
Y-09-15 00:13:55 ,82 
Y-09-15 00:13:56 ,80 
Y-09-15 00:13:57 ,79 
Y-09-15 00:14:01 ,79 
Y-09-15 00:14:02 ,75 
Y-09-15 00:14:03 ,78 
Y-09-15 00:14:04 ,77 
Y-09-15 00:14:05 ,78 
Y-09-15 00:14:06 ,94 
Y-09-15 00:14:07 ,77 
Y-09-15 00:14:09 ,76 
Y-09-15 00:14:10 ,77 
Y-09-15 00:14:11 ,77 
Y-09-15 00:14:12 ,77 
Y-09-15 00:14:13 ,77 
Y-09-15 00:14:14 ,77 
Y-09-15 00:14:17 ,77 
Y-09-15 00:14:21 ,77 
Y-09-15 00:14:22 ,77 
Y-09-15 00:14:23 ,78 
Y-09-15 00:14:24 ,78 
Y-09-15 00:14:25 ,78 
Y-09-15 00:14:26 ,78 
Y-09-15 00:14:28 ,77 
Y-09-15 00:14:29 ,77 
Y-09-15 00:14:30 ,157 
Y-09-15 00:14:31 ,76 
Y-09-15 00:14:32 ,77 
Y-09-15 00:14:34 ,77 
Y-09-15 00:14:36 ,156 
Y-09-15 00:14:40 ,78 
Y-09-15 00:14:41 ,79 
Y-09-15 00:14:42 ,79 
Y-09-15 00:14:44 ,79 
Y-09-15 00:14:45 ,79 
Y-09-15 00:14:46 ,79 
Y-09-15 00:14:48 ,79 
Y-09-15 00:14:49 ,79 
Y-09-15 00:14:50 ,79 
Y-09-15 00:14:51 ,79 
Y-09-15 00:14:55 ,78 
Y-09-15 00:14:56 ,79 
Y-09-15 00:14:57 ,71 
Y-09-15 00:14:58 ,73 
Y-09-15 00:15:00 ,80 
Y-09-15 00:15:01 ,79 
Y-09-15 00:15:02 ,86 
Y-09-15 00:15:04 ,77 
Y-09-15 00:15:05 ,77 
Y-09-15 00:15:06 ,75 
Y-09-15 00:15:07 ,76 
Y-09-15 00:15:09 ,77 
Y-09-15 00:15:10 ,77 
Y-09-15 00:15:11 ,77 
Y-09-15 00:15:12 ,50 
Y-09-15 00:15:17 ,77 
Y-09-15 00:15:19 ,77 
Y-09-15 00:15:20 ,77 
Y-09-15 00:15:21 ,77 
Y-09-15 00:15:22 ,76 
Y-09-15 00:15:24 ,67 
Y-09-15 00:15:25 ,77 
Y-09-15 00:15:26 ,78 
Y-09-15 00:15:27 ,78 
Y-09-15 00:15:29 ,79 
Y-09-15 00:15:30 ,80 
Y-09-15 00:15:34 ,80 
Y-09-15 00:15:35 ,80 
Y-09-15 00:15:36 ,80 
Y-09-15 00:15:37 ,79 
Y-09-15 00:15:39 ,79 
Y-09-15 00:15:40 ,72 
Y-09-15 00:15:41 ,79 
Y-09-15 00:15:43 ,80 
Y-09-15 00:15:44 ,80 
Y-09-15 00:15:45 ,80 
Y-09-15 00:15:47 ,83 
Y-09-15 00:15:48 ,81 
Y-09-15 00:15:49 ,81 
Y-09-15 00:15:50 ,80 
Y-09-15 00:15:52 ,72 
Y-09-15 00:15:55 ,80 
Y-09-15 00:15:57 ,79 
Y-09-15 00:15:58 ,80 
Y-09-15 00:15:59 ,77 
Y-09-15 00:16:01 ,80 
Y-09-15 00:16:02 ,78 
Y-09-15 00:16:03 ,77 
Y-09-15 00:16:05 ,87 
Y-09-15 00:16:06 ,79 
Y-09-15 00:16:07 ,78 
Y-09-15 00:16:09 ,78 
Y-09-15 00:16:10 ,76 
Y-09-15 00:16:12 ,76 
Y-09-15 00:16:13 ,77 
Y-09-15 00:16:14 ,70 
Y-09-15 00:16:16 ,79 
Y-09-15 00:16:17 ,79 
Y-09-15 00:16:19 ,150 
Y-09-15 00:16:23 ,80 
Y-09-15 00:16:24 ,81 
Y-09-15 00:16:26 ,82 
Y-09-15 00:16:27 ,81 
Y-09-15 00:16:29 ,74 
Y-09-15 00:16:30 ,82 
Y-09-15 00:16:32 ,82 
Y-09-15 00:16:33 ,82 
Y-09-15 00:16:34 ,83 
Y-09-15 00:16:36 ,82 
Y-09-15 00:16:37 ,82 
Y-09-15 00:16:41 ,81 
Y-09-15 00:16:42 ,80 
Y-09-15 00:16:43 ,80 
Y-09-15 00:16:46 ,79 
Y-09-15 00:16:47 ,77 
Y-09-15 00:16:49 ,77 
Y-09-15 00:16:50 ,77 
Y-09-15 00:16:52 ,69 
Y-09-15 00:16:53 ,78 
Y-09-15 00:16:54 ,77 
Y-09-15 00:16:58 ,78 
Y-09-15 00:16:59 ,79 
Y-09-15 00:17:01 ,78 
Y-09-15 00:17:03 ,76 
