TimeStamp   ,BPM   
Y-09-15 00:27:01 ,50 
Y-09-15 00:27:03 ,67 
Y-09-15 00:27:05 ,58 
Y-09-15 00:27:07 ,62 
Y-09-15 00:27:10 ,75 
Y-09-15 00:27:12 ,75 
Y-09-15 00:27:14 ,50 
Y-09-15 00:27:16 ,50 
Y-09-15 00:27:20 ,59 
Y-09-15 00:27:25 ,70 
Y-09-15 00:27:27 ,63 
Y-09-15 00:27:29 ,75 
Y-09-15 00:27:32 ,76 
Y-09-15 00:27:34 ,63 
Y-09-15 00:27:36 ,63 
Y-09-15 00:27:37 ,69 
Y-09-15 00:27:40 ,71 
Y-09-15 00:27:42 ,62 
Y-09-15 00:27:43 ,58 
Y-09-15 00:27:50 ,67 
Y-09-15 00:27:52 ,72 
Y-09-15 00:27:55 ,67 
Y-09-15 00:27:56 ,61 
Y-09-15 00:27:58 ,72 
Y-09-15 00:28:00 ,57 
Y-09-15 00:28:01 ,54 
Y-09-15 00:28:05 ,50 
Y-09-15 00:28:06 ,53 
Y-09-15 00:28:08 ,56 
Y-09-15 00:28:14 ,59 
Y-09-15 00:28:16 ,59 
Y-09-15 00:28:18 ,62 
Y-09-15 00:28:20 ,59 
Y-09-15 00:28:22 ,72 
Y-09-15 00:28:23 ,51 
Y-09-15 00:28:25 ,56 
Y-09-15 00:28:27 ,70 
Y-09-15 00:28:33 ,62 
Y-09-15 00:28:38 ,69 
Y-09-15 00:28:40 ,77 
Y-09-15 00:28:43 ,54 
Y-09-15 00:28:51 ,70 
Y-09-15 00:28:53 ,78 
Y-09-15 00:28:55 ,54 
Y-09-15 00:28:57 ,54 
Y-09-15 00:29:07 ,65 
Y-09-15 00:29:09 ,67 
Y-09-15 00:29:11 ,77 
Y-09-15 00:29:13 ,63 
Y-09-15 00:29:15 ,72 
Y-09-15 00:29:22 ,71 
Y-09-15 00:29:24 ,55 
Y-09-15 00:29:33 ,69 
Y-09-15 00:29:35 ,62 
Y-09-15 00:29:37 ,60 
Y-09-15 00:29:39 ,70 
Y-09-15 00:29:40 ,55 
Y-09-15 00:29:43 ,55 
Y-09-15 00:29:48 ,55 
Y-09-15 00:29:51 ,61 
Y-09-15 00:29:59 ,55 
Y-09-15 00:30:02 ,69 
Y-09-15 00:30:03 ,56 
Y-09-15 00:30:05 ,59 
Y-09-15 00:30:07 ,54 
Y-09-15 00:30:09 ,60 
Y-09-15 00:30:12 ,74 
Y-09-15 00:30:14 ,64 
Y-09-15 00:30:16 ,64 
Y-09-15 00:30:18 ,64 
Y-09-15 00:30:37 ,59 
Y-09-15 00:30:47 ,62 
Y-09-15 00:30:53 ,62 
Y-09-15 00:31:03 ,53 
Y-09-15 00:31:07 ,76 
Y-09-15 00:31:11 ,80 
Y-09-15 00:31:14 ,53 
Y-09-15 00:31:29 ,53 
Y-09-15 00:31:30 ,55 
Y-09-15 00:31:32 ,50 
Y-09-15 00:31:38 ,60 
Y-09-15 00:31:39 ,60 
Y-09-15 00:31:43 ,77 
Y-09-15 00:31:53 ,53 
Y-09-15 00:31:55 ,52 
Y-09-15 00:31:59 ,51 
Y-09-15 00:32:00 ,59 
Y-09-15 00:32:03 ,59 
Y-09-15 00:32:22 ,70 
Y-09-15 00:32:28 ,70 
Y-09-15 00:32:31 ,61 
Y-09-15 00:32:33 ,61 
