TimeStamp   ,BPM   
Y-09-10 08:55:51 ,95 
Y-09-10 08:55:52 ,62 
Y-09-10 08:55:54 ,80 
Y-09-10 08:55:55 ,76 
Y-09-10 08:55:56 ,75 
Y-09-10 08:55:57 ,75 
Y-09-10 08:55:58 ,75 
Y-09-10 08:55:59 ,74 
Y-09-10 08:56:02 ,74 
Y-09-10 08:56:03 ,76 
Y-09-10 08:56:04 ,74 
Y-09-10 08:56:05 ,72 
Y-09-10 08:56:06 ,72 
Y-09-10 08:56:08 ,72 
Y-09-10 08:56:09 ,72 
Y-09-10 08:56:10 ,71 
Y-09-10 08:56:11 ,70 
Y-09-10 08:56:13 ,70 
Y-09-10 08:56:17 ,75 
Y-09-10 08:56:18 ,75 
Y-09-10 08:56:19 ,73 
Y-09-10 08:56:20 ,71 
Y-09-10 08:56:21 ,69 
Y-09-10 08:56:22 ,69 
Y-09-10 08:56:24 ,67 
Y-09-10 08:56:25 ,66 
Y-09-10 08:56:26 ,64 
Y-09-10 08:56:28 ,66 
Y-09-10 08:56:29 ,66 
Y-09-10 08:56:32 ,66 
Y-09-10 08:56:33 ,65 
Y-09-10 08:56:34 ,65 
Y-09-10 08:56:36 ,66 
Y-09-10 08:56:37 ,67 
Y-09-10 08:56:38 ,67 
Y-09-10 08:56:39 ,69 
Y-09-10 08:56:41 ,69 
Y-09-10 08:56:42 ,68 
Y-09-10 08:56:43 ,68 
Y-09-10 08:56:44 ,69 
Y-09-10 08:56:46 ,69 
Y-09-10 08:56:47 ,70 
Y-09-10 08:56:50 ,81 
Y-09-10 08:56:52 ,70 
Y-09-10 08:56:54 ,70 
Y-09-10 08:56:55 ,69 
Y-09-10 08:56:57 ,70 
Y-09-10 08:56:58 ,70 
Y-09-10 08:56:59 ,71 
Y-09-10 08:57:00 ,71 
Y-09-10 08:57:02 ,64 
Y-09-10 08:57:03 ,63 
Y-09-10 08:57:06 ,67 
Y-09-10 08:57:07 ,62 
Y-09-10 08:57:08 ,67 
Y-09-10 08:57:09 ,66 
Y-09-10 08:57:11 ,73 
Y-09-10 08:57:12 ,73 
Y-09-10 08:57:13 ,76 
Y-09-10 08:57:14 ,77 
Y-09-10 08:57:15 ,79 
Y-09-10 08:57:17 ,80 
Y-09-10 08:57:18 ,82 
Y-09-10 08:57:21 ,75 
Y-09-10 08:57:23 ,76 
Y-09-10 08:57:24 ,73 
Y-09-10 08:57:25 ,72 
Y-09-10 08:57:26 ,72 
Y-09-10 08:57:28 ,89 
Y-09-10 08:57:29 ,70 
Y-09-10 08:57:30 ,70 
Y-09-10 08:57:31 ,71 
Y-09-10 08:57:33 ,71 
Y-09-10 08:57:34 ,71 
Y-09-10 08:57:38 ,73 
Y-09-10 08:57:39 ,71 
Y-09-10 08:57:40 ,70 
Y-09-10 08:57:42 ,70 
Y-09-10 08:57:43 ,70 
Y-09-10 08:57:44 ,70 
Y-09-10 08:57:45 ,70 
Y-09-10 08:57:47 ,70 
Y-09-10 08:57:48 ,72 
Y-09-10 08:57:50 ,74 
Y-09-10 08:57:51 ,74 
Y-09-10 08:57:52 ,74 
Y-09-10 08:57:54 ,75 
Y-09-10 08:57:55 ,75 
Y-09-10 08:57:56 ,74 
Y-09-10 08:57:57 ,74 
Y-09-10 08:57:59 ,73 
Y-09-10 08:58:00 ,74 
Y-09-10 08:58:01 ,73 
Y-09-10 08:58:02 ,68 
Y-09-10 08:58:06 ,78 
Y-09-10 08:58:07 ,78 
Y-09-10 08:58:08 ,78 
Y-09-10 08:58:10 ,77 
Y-09-10 08:58:11 ,79 
Y-09-10 08:58:12 ,79 
Y-09-10 08:58:13 ,79 
Y-09-10 08:58:15 ,79 
Y-09-10 08:58:16 ,79 
Y-09-10 08:58:18 ,78 
Y-09-10 08:58:19 ,77 
Y-09-10 08:58:22 ,81 
Y-09-10 08:58:24 ,78 
Y-09-10 08:58:25 ,78 
Y-09-10 08:58:26 ,81 
Y-09-10 08:58:28 ,79 
Y-09-10 08:58:29 ,76 
Y-09-10 08:58:30 ,74 
Y-09-10 08:58:31 ,72 
Y-09-10 08:58:33 ,73 
Y-09-10 08:58:34 ,73 
Y-09-10 08:58:35 ,72 
Y-09-10 08:58:37 ,72 
Y-09-10 08:58:38 ,74 
Y-09-10 08:58:40 ,74 
Y-09-10 08:58:41 ,73 
Y-09-10 08:58:42 ,72 
Y-09-10 08:58:43 ,72 
Y-09-10 08:58:45 ,73 
Y-09-10 08:58:46 ,74 
Y-09-10 08:58:47 ,71 
Y-09-10 08:58:49 ,73 
Y-09-10 08:58:50 ,75 
Y-09-10 08:58:51 ,75 
Y-09-10 08:58:53 ,73 
Y-09-10 08:58:54 ,73 
Y-09-10 08:58:55 ,74 
Y-09-10 08:58:56 ,75 
Y-09-10 08:58:57 ,73 
Y-09-10 08:58:59 ,69 
Y-09-10 08:59:02 ,74 
Y-09-10 08:59:04 ,83 
Y-09-10 08:59:05 ,82 
Y-09-10 08:59:07 ,80 
Y-09-10 08:59:08 ,78 
Y-09-10 08:59:10 ,74 
Y-09-10 08:59:11 ,77 
Y-09-10 08:59:13 ,75 
Y-09-10 08:59:14 ,74 
Y-09-10 08:59:16 ,74 
Y-09-10 08:59:17 ,75 
Y-09-10 08:59:21 ,74 
Y-09-10 08:59:23 ,71 
