TimeStamp   ,BPM   
09:14:26 ,57 
09:14:27 ,70 
09:14:29 ,74 
09:14:30 ,85 
09:14:32 ,80 
09:14:33 ,72 
09:14:34 ,78 
09:14:35 ,76 
09:14:37 ,74 
09:14:38 ,72 
09:14:39 ,71 
09:14:42 ,67 
09:14:43 ,66 
09:14:45 ,65 
09:14:46 ,65 
09:14:47 ,66 
09:14:49 ,67 
09:14:50 ,67 
09:14:51 ,66 
09:14:52 ,65 
09:14:54 ,66 
09:14:55 ,63 
09:14:59 ,66 
09:15:00 ,67 
09:15:01 ,66 
09:15:03 ,65 
09:15:04 ,66 
09:15:05 ,67 
09:15:06 ,66 
09:15:08 ,65 
09:15:09 ,67 
09:15:10 ,68 
09:15:12 ,68 
09:15:13 ,67 
09:15:14 ,70 
09:15:18 ,69 
09:15:20 ,78 
09:15:21 ,70 
09:15:22 ,68 
09:15:23 ,69 
09:15:25 ,70 
09:15:26 ,74 
09:15:28 ,74 
09:15:29 ,107 
09:15:31 ,73 
09:15:32 ,71 
09:15:33 ,66 
09:15:37 ,70 
09:15:38 ,69 
09:15:40 ,70 
09:15:41 ,70 
09:15:42 ,70 
09:15:44 ,62 
09:15:45 ,69 
09:15:47 ,68 
09:15:48 ,63 
09:15:49 ,69 
09:15:51 ,69 
09:15:52 ,71 
09:15:55 ,70 
09:15:57 ,67 
09:15:58 ,66 
09:16:00 ,67 
09:16:02 ,65 
09:16:03 ,66 
09:16:04 ,66 
09:16:06 ,68 
09:16:07 ,68 
09:16:08 ,71 
09:16:10 ,68 
09:16:13 ,62 
09:16:15 ,69 
09:16:16 ,62 
09:16:18 ,69 
09:16:19 ,64 
09:16:21 ,77 
09:16:22 ,83 
09:16:23 ,90 
09:16:25 ,74 
09:16:26 ,72 
09:16:28 ,61 
09:16:29 ,71 
09:16:33 ,65 
09:16:34 ,76 
09:16:36 ,78 
09:16:37 ,71 
09:16:39 ,77 
09:16:41 ,72 
09:16:42 ,69 
09:16:44 ,69 
09:16:45 ,68 
09:16:47 ,70 
09:16:48 ,74 
09:16:49 ,66 
09:16:53 ,81 
09:16:55 ,74 
09:16:56 ,72 
09:16:58 ,70 
09:16:59 ,69 
09:17:01 ,70 
09:17:02 ,77 
09:17:04 ,78 
09:17:05 ,73 
09:17:07 ,75 
09:17:08 ,75 
09:17:12 ,60 
09:17:14 ,71 
09:17:15 ,72 
09:17:16 ,70 
09:17:18 ,65 
09:17:20 ,71 
09:17:23 ,60 
09:17:25 ,70 
09:17:26 ,70 
09:17:28 ,69 
09:17:32 ,57 
09:17:33 ,68 
09:17:35 ,72 
09:17:36 ,65 
09:17:38 ,69 
09:17:39 ,72 
09:17:41 ,70 
09:17:42 ,73 
09:17:43 ,70 
09:17:45 ,62 
09:17:46 ,72 
09:17:51 ,64 
09:17:52 ,64 
09:17:54 ,70 
09:17:56 ,59 
09:17:57 ,72 
09:17:58 ,54 
09:17:59 ,59 
09:18:01 ,75 
09:18:03 ,77 
09:18:04 ,74 
09:18:06 ,56 
09:18:12 ,51 
09:18:13 ,77 
09:18:14 ,76 
09:18:16 ,67 
09:18:17 ,72 
09:18:19 ,73 
09:18:21 ,73 
09:18:22 ,71 
09:18:24 ,65 
09:18:26 ,70 
09:18:28 ,68 
09:18:32 ,57 
09:18:33 ,69 
09:18:34 ,61 
09:18:36 ,58 
09:18:38 ,64 
09:18:39 ,66 
09:18:41 ,70 
09:18:43 ,62 
09:18:44 ,81 
09:18:46 ,81 
09:18:47 ,78 
09:18:52 ,67 
09:18:54 ,95 
09:18:55 ,96 
09:18:57 ,82 
09:18:58 ,59 
09:19:00 ,70 
09:19:02 ,71 
09:19:03 ,64 
09:19:05 ,66 
09:19:07 ,64 
09:19:08 ,66 
09:19:12 ,57 
09:19:14 ,69 
09:19:16 ,56 
09:19:17 ,58 
09:19:19 ,59 
09:19:21 ,69 
09:19:23 ,69 
09:19:24 ,69 
09:19:26 ,63 
09:19:28 ,66 
09:19:30 ,60 
09:19:32 ,53 
09:19:40 ,53 
09:19:42 ,70 
09:19:44 ,68 
09:19:45 ,55 
09:19:47 ,55 
09:19:51 ,62 
09:19:53 ,62 
09:19:55 ,63 
09:19:56 ,53 
09:20:03 ,70 
09:20:05 ,71 
09:20:07 ,50 
09:20:08 ,71 
09:20:10 ,69 
09:20:12 ,64 
09:20:13 ,62 
09:20:15 ,55 
09:20:17 ,55 
09:20:20 ,59 
09:20:27 ,70 
09:20:28 ,59 
09:20:32 ,56 
09:20:33 ,68 
09:20:35 ,57 
