TimeStamp   ,BPM   
Y-09-15 00:01:25 ,64 
Y-09-15 00:01:35 ,50 
Y-09-15 00:01:36 ,70 
Y-09-15 00:01:37 ,70 
Y-09-15 00:01:39 ,70 
Y-09-15 00:01:42 ,70 
Y-09-15 00:01:43 ,81 
Y-09-15 00:01:45 ,69 
Y-09-15 00:01:46 ,68 
Y-09-15 00:01:49 ,83 
Y-09-15 00:01:51 ,83 
Y-09-15 00:01:52 ,93 
Y-09-15 00:01:54 ,76 
Y-09-15 00:01:56 ,97 
Y-09-15 00:01:57 ,97 
Y-09-15 00:02:01 ,99 
Y-09-15 00:02:03 ,94 
Y-09-15 00:02:04 ,101 
Y-09-15 00:02:06 ,91 
Y-09-15 00:02:07 ,87 
Y-09-15 00:02:09 ,103 
Y-09-15 00:02:10 ,99 
Y-09-15 00:02:12 ,90 
Y-09-15 00:02:13 ,95 
Y-09-15 00:02:14 ,102 
Y-09-15 00:02:16 ,80 
Y-09-15 00:02:19 ,91 
Y-09-15 00:02:21 ,95 
Y-09-15 00:02:22 ,83 
Y-09-15 00:02:24 ,75 
Y-09-15 00:02:25 ,67 
Y-09-15 00:02:26 ,76 
Y-09-15 00:02:27 ,88 
Y-09-15 00:02:29 ,73 
Y-09-15 00:02:30 ,81 
Y-09-15 00:02:32 ,97 
Y-09-15 00:02:34 ,64 
Y-09-15 00:02:37 ,69 
Y-09-15 00:02:39 ,85 
Y-09-15 00:02:40 ,92 
Y-09-15 00:02:42 ,91 
Y-09-15 00:02:43 ,81 
Y-09-15 00:02:45 ,91 
Y-09-15 00:02:46 ,70 
Y-09-15 00:02:47 ,62 
Y-09-15 00:02:49 ,76 
Y-09-15 00:02:50 ,71 
Y-09-15 00:02:52 ,56 
Y-09-15 00:02:59 ,61 
Y-09-15 00:03:00 ,66 
Y-09-15 00:03:01 ,51 
Y-09-15 00:03:03 ,58 
Y-09-15 00:03:04 ,80 
Y-09-15 00:03:06 ,80 
Y-09-15 00:03:08 ,64 
Y-09-15 00:03:09 ,86 
Y-09-15 00:03:11 ,57 
Y-09-15 00:03:12 ,100 
Y-09-15 00:03:14 ,73 
Y-09-15 00:03:18 ,78 
Y-09-15 00:03:19 ,64 
Y-09-15 00:03:20 ,73 
Y-09-15 00:03:22 ,91 
Y-09-15 00:03:23 ,93 
Y-09-15 00:03:25 ,75 
Y-09-15 00:03:26 ,62 
Y-09-15 00:03:28 ,84 
Y-09-15 00:03:29 ,85 
Y-09-15 00:03:31 ,84 
Y-09-15 00:03:33 ,89 
Y-09-15 00:03:37 ,64 
Y-09-15 00:03:38 ,74 
Y-09-15 00:03:40 ,89 
Y-09-15 00:03:42 ,76 
Y-09-15 00:03:44 ,81 
Y-09-15 00:03:45 ,91 
Y-09-15 00:03:47 ,93 
Y-09-15 00:03:49 ,73 
Y-09-15 00:03:50 ,95 
Y-09-15 00:03:52 ,93 
Y-09-15 00:03:53 ,63 
Y-09-15 00:03:58 ,87 
Y-09-15 00:03:59 ,95 
Y-09-15 00:04:00 ,78 
Y-09-15 00:04:02 ,88 
Y-09-15 00:04:03 ,79 
Y-09-15 00:04:05 ,73 
Y-09-15 00:04:06 ,91 
Y-09-15 00:04:08 ,81 
Y-09-15 00:04:09 ,89 
Y-09-15 00:04:10 ,91 
Y-09-15 00:04:12 ,77 
Y-09-15 00:04:17 ,66 
Y-09-15 00:04:18 ,84 
Y-09-15 00:04:20 ,76 
Y-09-15 00:04:21 ,57 
Y-09-15 00:04:23 ,82 
Y-09-15 00:04:24 ,73 
Y-09-15 00:04:26 ,91 
Y-09-15 00:04:28 ,63 
Y-09-15 00:04:30 ,51 
Y-09-15 00:04:31 ,74 
Y-09-15 00:04:33 ,74 
Y-09-15 00:04:35 ,61 
Y-09-15 00:04:39 ,101 
Y-09-15 00:04:41 ,92 
Y-09-15 00:04:42 ,87 
Y-09-15 00:04:44 ,92 
Y-09-15 00:04:45 ,70 
Y-09-15 00:04:47 ,83 
Y-09-15 00:04:48 ,66 
Y-09-15 00:04:50 ,67 
Y-09-15 00:04:52 ,85 
Y-09-15 00:04:53 ,75 
Y-09-15 00:04:55 ,97 
Y-09-15 00:05:01 ,96 
Y-09-15 00:05:03 ,87 
Y-09-15 00:05:05 ,81 
Y-09-15 00:05:07 ,73 
Y-09-15 00:05:08 ,51 
Y-09-15 00:05:10 ,73 
Y-09-15 00:05:11 ,80 
Y-09-15 00:05:13 ,86 
Y-09-15 00:05:15 ,61 
Y-09-15 00:05:17 ,80 
Y-09-15 00:05:19 ,72 
Y-09-15 00:05:24 ,60 
Y-09-15 00:05:26 ,58 
Y-09-15 00:05:28 ,94 
Y-09-15 00:05:30 ,90 
Y-09-15 00:05:32 ,83 
Y-09-15 00:05:33 ,64 
Y-09-15 00:05:36 ,94 
Y-09-15 00:05:39 ,92 
Y-09-15 00:05:40 ,88 
Y-09-15 00:05:43 ,76 
Y-09-15 00:05:48 ,90 
Y-09-15 00:05:55 ,56 
Y-09-15 00:05:56 ,56 
Y-09-15 00:05:58 ,53 
Y-09-15 00:06:00 ,51 
Y-09-15 00:06:06 ,65 
Y-09-15 00:06:10 ,70 
Y-09-15 00:06:12 ,70 
