TimeStamp   ,BPM   
Y-09-14 23:46:59 ,104 
Y-09-14 23:47:01 ,91 
Y-09-14 23:47:02 ,65 
Y-09-14 23:47:03 ,89 
Y-09-14 23:47:05 ,74 
Y-09-14 23:47:06 ,91 
Y-09-14 23:47:08 ,51 
Y-09-14 23:47:09 ,94 
Y-09-14 23:47:10 ,92 
Y-09-14 23:47:11 ,96 
Y-09-14 23:47:14 ,86 
Y-09-14 23:47:15 ,73 
Y-09-14 23:47:16 ,98 
Y-09-14 23:47:18 ,97 
Y-09-14 23:47:19 ,98 
Y-09-14 23:47:21 ,82 
Y-09-14 23:47:22 ,100 
Y-09-14 23:47:23 ,90 
Y-09-14 23:47:25 ,97 
Y-09-14 23:47:26 ,90 
Y-09-14 23:47:27 ,100 
Y-09-14 23:47:31 ,103 
Y-09-14 23:47:32 ,101 
Y-09-14 23:47:34 ,99 
Y-09-14 23:47:35 ,88 
Y-09-14 23:47:37 ,81 
Y-09-14 23:47:38 ,81 
Y-09-14 23:47:39 ,100 
Y-09-14 23:47:40 ,99 
Y-09-14 23:47:42 ,90 
Y-09-14 23:47:43 ,100 
Y-09-14 23:47:45 ,100 
Y-09-14 23:47:46 ,90 
Y-09-14 23:47:50 ,126 
Y-09-14 23:47:52 ,119 
Y-09-14 23:47:53 ,129 
Y-09-14 23:47:55 ,122 
Y-09-14 23:47:56 ,106 
Y-09-14 23:47:58 ,102 
Y-09-14 23:47:59 ,86 
Y-09-14 23:48:00 ,88 
Y-09-14 23:48:01 ,95 
Y-09-14 23:48:03 ,92 
Y-09-14 23:48:04 ,75 
Y-09-14 23:48:08 ,96 
Y-09-14 23:48:09 ,97 
Y-09-14 23:48:10 ,99 
Y-09-14 23:48:12 ,101 
Y-09-14 23:48:13 ,91 
Y-09-14 23:48:14 ,102 
Y-09-14 23:48:16 ,102 
Y-09-14 23:48:17 ,92 
Y-09-14 23:48:19 ,84 
Y-09-14 23:48:20 ,93 
Y-09-14 23:48:21 ,89 
Y-09-14 23:48:25 ,88 
Y-09-14 23:48:26 ,84 
Y-09-14 23:48:28 ,86 
Y-09-14 23:48:29 ,78 
Y-09-14 23:48:30 ,98 
Y-09-14 23:48:32 ,86 
Y-09-14 23:48:33 ,71 
Y-09-14 23:48:35 ,86 
Y-09-14 23:48:37 ,93 
Y-09-14 23:48:38 ,91 
Y-09-14 23:48:40 ,91 
Y-09-14 23:48:44 ,95 
Y-09-14 23:48:45 ,94 
Y-09-14 23:48:47 ,94 
Y-09-14 23:48:48 ,88 
Y-09-14 23:48:49 ,94 
Y-09-14 23:48:51 ,73 
Y-09-14 23:48:52 ,85 
Y-09-14 23:48:54 ,87 
Y-09-14 23:48:55 ,73 
Y-09-14 23:48:57 ,83 
Y-09-14 23:48:58 ,89 
Y-09-14 23:49:02 ,87 
Y-09-14 23:49:03 ,87 
Y-09-14 23:49:05 ,89 
Y-09-14 23:49:07 ,83 
Y-09-14 23:49:08 ,94 
Y-09-14 23:49:09 ,96 
Y-09-14 23:49:11 ,91 
Y-09-14 23:49:12 ,90 
Y-09-14 23:49:14 ,89 
Y-09-14 23:49:16 ,84 
Y-09-14 23:49:17 ,85 
Y-09-14 23:49:18 ,107 
Y-09-14 23:49:22 ,101 
