TimeStamp   ,BPM   
Y-09-14 23:25:14 ,50 
Y-09-14 23:25:15 ,50 
Y-09-14 23:25:16 ,50 
Y-09-14 23:25:17 ,50 
Y-09-14 23:25:18 ,50 
Y-09-14 23:25:19 ,50 
Y-09-14 23:25:21 ,71 
Y-09-14 23:25:22 ,77 
Y-09-14 23:25:25 ,50 
Y-09-14 23:25:28 ,50 
Y-09-14 23:25:29 ,71 
Y-09-14 23:25:31 ,71 
Y-09-14 23:25:32 ,71 
Y-09-14 23:25:33 ,81 
Y-09-14 23:25:34 ,81 
Y-09-14 23:25:35 ,83 
Y-09-14 23:25:36 ,85 
Y-09-14 23:25:37 ,85 
Y-09-14 23:25:39 ,85 
Y-09-14 23:25:40 ,85 
Y-09-14 23:25:43 ,85 
Y-09-14 23:25:44 ,85 
Y-09-14 23:25:45 ,53 
Y-09-14 23:25:46 ,98 
Y-09-14 23:25:47 ,98 
Y-09-14 23:25:48 ,98 
Y-09-14 23:25:50 ,98 
Y-09-14 23:25:51 ,89 
Y-09-14 23:25:52 ,89 
Y-09-14 23:25:53 ,89 
Y-09-14 23:25:54 ,89 
Y-09-14 23:25:55 ,89 
Y-09-14 23:25:57 ,89 
Y-09-14 23:25:58 ,89 
Y-09-14 23:25:59 ,88 
Y-09-14 23:26:00 ,88 
Y-09-14 23:26:01 ,88 
Y-09-14 23:26:03 ,88 
Y-09-14 23:26:04 ,88 
Y-09-14 23:26:05 ,88 
Y-09-14 23:26:06 ,88 
Y-09-14 23:26:08 ,88 
Y-09-14 23:26:12 ,89 
Y-09-14 23:26:15 ,89 
Y-09-14 23:26:17 ,89 
Y-09-14 23:26:18 ,89 
Y-09-14 23:26:19 ,89 
Y-09-14 23:26:20 ,89 
Y-09-14 23:26:21 ,89 
Y-09-14 23:26:23 ,89 
Y-09-14 23:26:24 ,89 
Y-09-14 23:26:25 ,89 
Y-09-14 23:26:31 ,92 
Y-09-14 23:26:35 ,92 
Y-09-14 23:26:36 ,92 
Y-09-14 23:26:37 ,92 
Y-09-14 23:26:39 ,91 
Y-09-14 23:26:40 ,91 
Y-09-14 23:26:41 ,91 
Y-09-14 23:26:42 ,92 
Y-09-14 23:26:43 ,92 
Y-09-14 23:26:45 ,92 
Y-09-14 23:26:46 ,92 
Y-09-14 23:26:47 ,92 
Y-09-14 23:26:48 ,92 
Y-09-14 23:26:50 ,92 
Y-09-14 23:26:51 ,92 
Y-09-14 23:26:52 ,91 
Y-09-14 23:26:53 ,90 
Y-09-14 23:26:54 ,90 
Y-09-14 23:26:56 ,90 
Y-09-14 23:26:57 ,90 
Y-09-14 23:26:58 ,90 
Y-09-14 23:27:00 ,90 
Y-09-14 23:27:01 ,90 
Y-09-14 23:27:02 ,90 
Y-09-14 23:27:03 ,90 
Y-09-14 23:27:04 ,89 
Y-09-14 23:27:08 ,89 
Y-09-14 23:27:09 ,89 
Y-09-14 23:27:10 ,67 
Y-09-14 23:27:11 ,88 
Y-09-14 23:27:12 ,89 
Y-09-14 23:27:14 ,89 
Y-09-14 23:27:15 ,89 
Y-09-14 23:27:16 ,89 
Y-09-14 23:27:17 ,89 
Y-09-14 23:27:19 ,89 
Y-09-14 23:27:20 ,89 
Y-09-14 23:27:22 ,96 
Y-09-14 23:27:26 ,96 
Y-09-14 23:27:27 ,96 
Y-09-14 23:27:29 ,94 
Y-09-14 23:27:30 ,93 
Y-09-14 23:27:33 ,95 
Y-09-14 23:27:35 ,96 
Y-09-14 23:27:36 ,95 
Y-09-14 23:27:37 ,85 
Y-09-14 23:27:39 ,93 
Y-09-14 23:27:43 ,93 
Y-09-14 23:27:44 ,52 
Y-09-14 23:27:46 ,87 
Y-09-14 23:27:47 ,58 
Y-09-14 23:27:50 ,78 
Y-09-14 23:27:51 ,87 
Y-09-14 23:27:52 ,87 
Y-09-14 23:27:54 ,87 
Y-09-14 23:27:55 ,72 
Y-09-14 23:27:59 ,86 
Y-09-14 23:28:02 ,50 
Y-09-14 23:28:03 ,86 
Y-09-14 23:28:05 ,86 
Y-09-14 23:28:06 ,86 
Y-09-14 23:28:07 ,85 
Y-09-14 23:28:09 ,79 
Y-09-14 23:28:10 ,67 
Y-09-14 23:28:11 ,68 
Y-09-14 23:28:13 ,80 
Y-09-14 23:28:14 ,80 
Y-09-14 23:28:15 ,80 
Y-09-14 23:28:22 ,57 
Y-09-14 23:28:27 ,84 
Y-09-14 23:28:29 ,97 
Y-09-14 23:28:31 ,52 
Y-09-14 23:28:32 ,96 
Y-09-14 23:28:33 ,57 
Y-09-14 23:28:34 ,74 
Y-09-14 23:28:35 ,73 
Y-09-14 23:28:37 ,53 
Y-09-14 23:28:38 ,70 
Y-09-14 23:28:40 ,90 
Y-09-14 23:28:45 ,62 
Y-09-14 23:28:46 ,67 
Y-09-14 23:28:47 ,94 
Y-09-14 23:28:49 ,91 
Y-09-14 23:28:50 ,90 
Y-09-14 23:28:53 ,74 
Y-09-14 23:28:54 ,85 
Y-09-14 23:28:56 ,78 
Y-09-14 23:28:57 ,78 
Y-09-14 23:28:59 ,58 
Y-09-14 23:29:04 ,83 
Y-09-14 23:29:06 ,91 
Y-09-14 23:29:07 ,91 
Y-09-14 23:29:08 ,91 
